Cornell Magic Club, Special Interest
CampusConnection, Community Service
Rise Dance Group, Performing Arts
New York City Service Initiative, Community Service
Cornell Bread Club, Special Interest
Contra Dance Club, Recreational Sports
Asha Cornell, Social Change
Canadians at Cornell,Cultural
The Cornell Review, Event Planning/Publications
Cross-Cultural Adoptee Mentorship Program,Cultural
Cornell Dancesport Team, Recreational Sports
Cornell Republicans, Social Change
Cornell Organization for Labor Action, Social Change
Veritas Forum, Religion
BRASA - Brazilian Student Organization,Cultural
Cornell Green Revolving Fund, Science/Technology
Green Revolving Fund, Special Interest
Cornell Quiz Bowl Club, Recreational Sports
Risley Theatre, Performing Arts
Vox: Voices for Planned Parenthood , Social Change
The Johnson Museum Club, Special Interest
Cornell Cheerleading, Recreational Sports
Nepal Association at Cornell,Cultural
Cornell University Figure Skating Club, Recreational Sports
Givology at Cornell, Community Service
Cornell Block & Bridle, Special Interest
Society for Women in Law, Business/Career
Project Sunshine, Community Service
Sports Marketing Group, Event Planning/Publications
10-C: Financial Reporting by Students at Cornell, Business/Career
Quodlibet, Special Interest
Delta Sigma Pi, Business/Career
Cornell International Affairs Society, Special Interest
Cornell Eastern Music Ensemble (CEME), Performing Arts
Cornell Herpetological Society, Special Interest
Cornell Annual Fund, Business/Career
Club Gymnastics, Recreational Sports
Games Club, Special Interest
Cornell Gourmet Club , Event Planning/Publications
Russia-U.S. Connection Club, Special Interest
Business Asia Journal, Event Planning/Publications
Cornell Birding Club, Special Interest
Cornell Womens Club Basketball, Recreational Sports
Recesspreneurs, Community Service
Cornell Swing Dance Club, Performing Arts
Drug Information Association Student Chapter at Cornell, Business/Career
Alzheimers Help and Awareness, Community Service
Mutual Investment Club of Cornell, Business/Career
Bengali Student Association ,Cultural
Student Assembly, Community Service
PorColombia ,Cultural
BreakFree Hip Hop, Performing Arts
The Environmental Collaborative (ECO), Social Change
Cornell Photo Society, Special Interest
Cornell Mens Rugby, Recreational Sports
Cornell Investment Corporation, Business/Career
MEDLIFE, Community Service
Society of Hispanic Professional Engineers, Science/Technology
Cornell Karate Club, Recreational Sports
Cornell Undergraduate Law and Society Review, Business/Career
Cornell Film Club, Special Interest
Cornell Undergraduate Health Cooperative, Special Interest
"Percussion, Rhythm", Performing Arts
PSYCH (Psychological Society Yielding Clinical Health Practitioners), Special Interest
The Association for Women in Communication, Business/Career
Cornell Vietnamese Association,Cultural
Vaccine Education Initiative at Cornell , Science/Technology
CORNELL CONSULTING GROUP, Business/Career
NKFocus, Social Change
AIESEC Cornell, Social Change
Hortus Forum, Special Interest
INFORMS, Business/Career
Cornell Christian Students, Religion
Mosaic Academy, Business/Career
Cornell Rock and Roll Club, Performing Arts
Hong Kong Student Association,Cultural
Cornell Roosevelt Institute, Business/Career
Cornell Womens Resource Center, Social Change
< 3 A Cappella, Performing Arts
Theme Park Engineering Group (TPEG), Science/Technology
Cornell Astronomical Society, Science/Technology
Cornell Kendo Club, Recreational Sports
ILR Womens Caucus, Social Change
BASE Productions, Performing Arts
Cornell Outing Club, Recreational Sports
Theta Tau, Business/Career
Chinese Bible Study, Religion
Hindu Student Council, Religion
Language Pairing Program,Cultural
Cornell Ballroom Club, Recreational Sports
Cornell Undergraduate Research Board (CURB), Science/Technology
Operation DEEP, Community Service
Sri Lankan Students Association,Cultural
Scholars Working Ambitiously to Graduate, Special Interest
Pakistani Students Association,Cultural
Shimtah, Performing Arts
Cornell Comedy Club, Performing Arts
Cornell Bridges to Community, Community Service
South Asian Council, Social Change
Cornell Roses, Recreational Sports
Cornell University Circle-K, Community Service
Tibet Initiative at Cornell, Social Change
Global China Connection, Business/Career
Cornell Raas Club,Cultural
Cornell Mens Club Ice Hockey, Recreational Sports
Synchronized Skating, Recreational Sports
Impact Dance Troupe, Performing Arts
Fantasia A Cappella, Performing Arts
Cornell Mars Rover, Science/Technology
Into the Streets, Community Service
Cornell Cardiology Interest Group, Special Interest
Jamaica Difference , Community Service
Cornell Union for Disability Awareness, Social Change
Alpha Kappa Psi, Business/Career
Multicultural Concert Funding Advisory Board , Event Planning/Publications
Cornell Consulting Club, Business/Career
Cornell Taiwanese American Society,Cultural
Alpha Chi Sigma, Science/Technology
Farmers Market at Cornell, Social Change
Cornell Effective Altruism, Social Change
Mayor Potencial, Community Service
Engineering World Health, Science/Technology
Cornell Lion Dance, Performing Arts
BEARS, Community Service
Cornell Rotaract, Community Service
Squash club, Recreational Sports
Black Biomedical Technical Association - Minority Association of Pre-Med students , Science/Technology
Society for Natural Resources Conservation, Special Interest
Cornell Anthropology Exchange, Special Interest
Science Fiction - Fantasy Writers Alliance, Event Planning/Publications
Slope Day Programming Board, Event Planning/Publications
CU IMAGE (Cornell University Increasing Multicultural Admissions and Gains in Enrollment), Special Interest
Collegiate FFA, Special Interest
SOBER@Cornell, Special Interest
Writers bloc, Event Planning/Publications
Chess Club, Recreational Sports
Cornell iGEM, Science/Technology
CORNELL PIANO SOCIETY, Performing Arts
Chosen Generation Gospel Choir, Religion
Mafia club, Recreational Sports
ILR Sports Business Society, Recreational Sports
Movimiento Estudiantil Chicano de Aztlan (MEChA),Cultural
Engineers Without Borders, Science/Technology
Sport Tae Kwon Do at Cornell, Recreational Sports
Chinese Students Association,Cultural
Engineers for a Sustainable World, Science/Technology
Cornell Global Economics & Finance Society, Business/Career
Big Red Bears, Special Interest
Ring of Steel, Performing Arts
Cornell Alternative Breaks, Community Service
Ordinary People, Performing Arts
Cornell Vegan Society, Social Change
American Society of Civil Engineers, Business/Career
Cornell Table Tennis Club, Recreational Sports
Yamatai (Cornell Taiko), Performing Arts
Y.O.U.R.S., Community Service
MOCHI, Social Change
Cornell Womens Rugby Football Club, Recreational Sports
CASPHA, Special Interest
Cornell University Klezmer Ensemble, Performing Arts
Translator-Interpreter Program, Community Service
Project Generations, Community Service
Society for Women in Business , Business/Career
REACH, Community Service
Womens Ultimate Frisbee Thorny Roses, Recreational Sports
Phi Delta Epsilon, Science/Technology
Financial Management Group of Cornell, Business/Career
Aikido Club, Recreational Sports
Chabad,Cultural
Sigma Alpha Sorority, Special Interest
Salsa Palante, Performing Arts
Cornell Actuarial Society, Business/Career
"Freeski and snowboard club, Cornell", Recreational Sports
Muslim Educational and Cultural Association, Religion
SamahopeU, Special Interest
Ukulele Club, Performing Arts
Cornell Media and Entertainment, Business/Career
Community Partnership Funding Board, Social Change
Cornell Womens Ice Hockey Club, Recreational Sports
Cornell Quidditch, Recreational Sports
Cornell Smash Brothers Club, Recreational Sports
NEO@CU, Special Interest
Cornell Undergraduate Asia Business Society, Business/Career
W2CXM Cornell Amateur Radio Club, Science/Technology
Phenomenon Step Team, Performing Arts
Cornell Filipino Association,Cultural
I AM THAT GIRL, Social Change
Red Carpet Society, Community Service
Society of Physics Students, Science/Technology
Cornell Cinema, Performing Arts
Debate in Sciences and Health, Science/Technology
AIAA (American Institute of Aeronautics and Astronautics), Science/Technology
CUAppDev, Science/Technology
College Mentors for Kids , Community Service
Cornell International Affairs Review, Event Planning/Publications
Cornell Track and Field Club, Recreational Sports
International Students Union,Cultural
Cornell Hillel, Religion
The Whistling Shrimp Improv Comedy Troupe, Performing Arts
Students for Justice in Palestine, Social Change
The Cornell Progressive , Event Planning/Publications
